"","X_km","Y_km","Conc"
"1",496.91,5443.274,1165
"2",496.91,5443.324,1154
"3",496.86,5443.274,936
"4",496.91,5443.224,965
"5",496.86,5443.324,1087
"6",496.86,5443.224,748
"7",496.91,5443.374,1081
"8",496.96,5443.274,1058
"9",496.96,5443.324,1061
"10",496.96,5443.224,968
"11",496.96,5443.374,1031
"12",496.86,5443.374,1040
"13",496.91,5443.174,755
"14",496.91,5443.424,1019
"15",496.86,5443.174,631
"16",496.96,5443.424,997
"17",496.96,5443.174,842
"18",496.86,5443.424,947
"19",497.01,5443.274,975
"20",496.81,5443.274,691
"21",497.01,5443.324,990
"22",496.81,5443.224,626
"23",497.01,5443.224,898
"24",497.01,5443.374,981
"25",496.81,5443.324,841
"26",496.91,5443.124,583
"27",496.86,5443.124,538
"28",496.81,5443.174,564
"29",496.81,5443.374,890
"30",497.01,5443.174,803
"31",496.96,5443.124,593
"32",496.81,5443.424,892
"33",497.01,5443.424,925
"34",497.06,5443.274,910
"35",496.91,5443.474,797
"36",496.81,5443.124,463
"37",496.96,5443.474,852
"38",497.06,5443.324,902
"39",496.76,5443.324,649
"40",496.76,5443.274,607
"41",496.76,5443.374,718
"42",497.06,5443.224,793
"43",496.76,5443.224,556
"44",497.06,5443.374,894
"45",496.76,5443.174,511
"46",496.86,5443.474,667
"47",497.01,5443.474,825
"48",497.06,5443.424,871
"49",496.86,5443.074,361
"50",496.76,5443.124,429
"51",496.81,5443.074,350
"52",497.01,5443.124,440
"53",497.06,5443.174,537
"54",496.91,5443.074,359
"55",497.11,5443.324,806
"56",497.11,5443.274,753
"57",496.76,5443.424,558
"58",497.11,5443.374,833
"59",496.81,5443.474,510
"60",497.06,5443.474,806
"61",497.11,5443.224,552
"62",496.76,5443.074,334
"63",496.96,5443.074,315
"64",497.11,5443.424,853
"65",496.96,5443.524,585
"66",496.91,5443.524,521
"67",497.11,5443.474,784
"68",497.16,5443.374,767
"69",497.16,5443.324,698
"70",497.06,5443.124,337
"71",497.01,5443.524,615
"72",497.16,5443.424,778
"73",497.16,5443.274,543
"74",497.11,5443.174,377
"75",496.86,5443.524,429
"76",496.76,5443.474,427
"77",497.01,5443.074,263
"78",497.06,5443.524,641
"79",497.21,5443.374,592
"80",497.16,5443.474,698
"81",497.16,5443.224,400
"82",497.21,5443.324,489
"83",496.81,5443.524,373
"84",497.11,5443.524,629
"85",497.21,5443.274,396
"86",497.21,5443.424,614
"87",496.86,5443.024,211
"88",496.76,5443.024,200
"89",496.81,5443.024,196
"90",496.76,5443.524,312
"91",497.16,5443.174,298
"92",497.11,5443.124,258
"93",496.91,5443.024,198
"94",496.91,5443.574,368
"95",496.96,5443.574,399
"96",497.21,5443.224,302
"97",496.86,5443.574,326
"98",497.01,5443.574,417
"99",497.21,5443.474,547
"100",497.06,5443.074,213
"101",496.81,5443.574,300
"102",497.16,5443.524,543
"103",496.512,5443.241,221
"104",497.06,5443.574,438
"105",496.76,5443.574,266
"106",497.26,5443.374,384
"107",496.96,5443.024,166
"108",497.26,5443.424,409
"109",497.16,5443.124,202
"110",497.26,5443.324,337
"111",497.21,5443.524,448
"112",497.11,5443.074,173
"113",497.21,5443.174,230
"114",497.11,5443.574,431
"115",497.01,5443.024,156
"116",497.26,5443.474,378
"117",496.91,5443.624,288
"118",497.26,5443.274,277
"119",497.16,5443.574,417
"120",496.86,5443.624,274
"121",496.96,5443.624,308
"122",496.81,5443.624,254
"123",497.01,5443.624,330
"124",497.21,5443.574,366
"125",497.26,5443.224,227
"126",497.06,5443.624,331
"127",497.26,5443.524,366
"128",497.06,5443.024,131
"129",496.76,5443.624,232
"130",497.11,5443.624,333
"131",496.512,5443.483,192
"132",497.31,5443.374,257
"133",497.31,5443.324,238
"134",497.16,5443.624,330
"135",497.31,5443.424,281
"136",497.31,5443.224,203
"137",497.31,5443.474,293
"138",496.91,5443.674,236
"139",496.86,5443.674,222
"140",496.96,5443.674,254
"141",497.16,5443.074,152
"142",497.26,5443.574,333
"143",497.31,5443.274,204
"144",497.26,5443.174,187
"145",497.01,5443.674,261
"146",496.81,5443.674,210
"147",497.31,5443.524,298
"148",496.86,5442.974,119
"149",496.91,5442.974,121
"150",497.21,5443.124,179
"151",497.21,5443.624,298
"152",496.76,5443.674,198
"153",497.06,5443.674,268
"154",497.319,5443.2,173
"155",497.848,5443.087,11
"156",497.292,5443.171,181
"157",497.832,5443.099,12
"158",497.306,5443.185,176
"159",497.11,5443.674,265
"160",496.96,5442.974,117
"161",497.279,5443.156,178
"162",496.81,5442.974,121
"163",497.265,5443.141,183
"164",497.252,5443.126,182
"165",497.31,5443.574,297
"166",497.816,5443.112,13
"167",497.239,5443.111,171
"168",497.333,5443.215,166
"169",497.16,5443.674,239
"170",497.26,5443.624,287
"171",497.11,5443.024,117
"172",496.86,5443.724,181
"173",496.91,5443.724,194
"174",497.36,5443.474,235
"175",497.247,5443.105,162
"176",496.96,5443.724,197
"177",497.36,5443.524,243
"178",496.81,5443.724,166
"179",497.864,5443.075,12
"180",497.01,5443.724,197
"181",497.21,5443.074,156
"182",497.346,5443.23,154
"183",497.36,5443.424,205
"184",497.01,5442.974,114
"185",497.81,5443.124,10
"186",497.31,5443.624,248
"187",497.06,5443.724,204
"188",497.21,5443.674,229
"189",496.76,5443.724,144
"190",497.36,5443.574,238
"191",497.8,5443.124,15
"192",496.76,5442.974,120
"193",497.36,5443.374,187
"194",497.359,5443.245,143
"195",497.36,5443.324,152
"196",497.262,5443.093,138
"197",497.26,5443.674,240
"198",497.11,5443.724,186
"199",497.88,5443.063,12
"200",497.36,5443.274,123
"201",497.373,5443.26,131
"202",497.36,5443.624,210
"203",497.16,5443.024,131
"204",497.86,5443.124,8
"205",496.91,5443.774,144
"206",497.31,5443.674,210
"207",497.41,5443.524,186
"208",497.485,5442.98,14
"209",497.16,5443.724,185
"210",496.86,5443.774,135
"211",497.41,5443.474,183
"212",496.96,5443.774,150
"213",497.387,5443.274,120
"214",496.512,5442.999,111
"215",497.26,5443.074,123
"216",496.81,5443.774,121
"217",497.41,5443.424,157
"218",497.41,5443.574,192
"219",497.21,5443.724,184
"220",497.01,5443.774,148
"221",497.278,5443.081,113
"222",496.76,5443.774,110
"223",497.26,5443.724,183
"224",497.401,5443.288,116
"225",497.36,5443.674,183
"226",497.06,5442.974,97
"227",497.06,5443.774,144
"228",497.41,5443.374,129
"229",497.41,5443.324,128
"230",497.41,5443.624,177
"231",497.895,5443.051,12
"232",497.416,5443.302,113
"233",497.21,5443.024,106
"234",497.91,5443.074,11
"235",497.31,5443.724,171
"236",497.429,5443.316,113
"237",497.11,5443.774,146
"238",497.294,5443.069,93
"239",497.41,5443.674,164
"240",497.16,5443.774,138
"241",497.442,5443.332,110
"242",497.46,5443.624,150
"243",497.46,5443.574,156
"244",497.36,5443.724,168
"245",496.265,5443.241,59
"246",497.21,5443.774,144
"247",497.46,5443.524,146
"248",497.454,5443.347,109
"249",497.46,5443.474,132
"250",497.784,5443.136,14
"251",497.26,5443.774,151
"252",497.46,5443.374,117
"253",497.911,5443.038,11
"254",497.46,5443.674,148
"255",497.16,5442.974,88
"256",497.46,5443.424,114
"257",497.26,5443.024,82
"258",497.11,5442.974,85
"259",497.41,5443.724,153
"260",497.468,5443.362,106
"261",496.512,5443.724,73
"262",497.31,5443.057,69
"263",496.86,5443.824,89
"264",496.91,5443.824,100
"265",497.01,5443.824,108
"266",496.96,5443.824,105
"267",497.31,5443.774,149
"268",497.91,5443.124,5
"269",496.76,5443.824,93
"270",497.479,5443.371,102
"271",497.501,5442.968,13
"272",497.51,5443.624,128
"273",496.81,5443.824,86
"274",497.06,5443.824,105
"275",497.483,5443.368,97
"276",497.46,5443.724,136
"277",497.16,5443.824,113
"278",497.51,5443.574,124
"279",497.51,5443.674,125
"280",497.11,5443.824,105
"281",497.36,5443.774,136
"282",497.21,5442.974,74
"283",497.51,5443.524,111
"284",496.265,5443.483,51
"285",497.499,5443.356,78
"286",497.41,5443.774,121
"287",497.21,5443.824,119
"288",497.469,5442.993,19
"289",497.326,5443.045,57
"290",497.51,5443.374,82
"291",496.81,5443.874,72
"292",496.265,5442.999,50
"293",497.51,5443.474,99
"294",496.76,5443.874,61
"295",496.86,5443.874,77
"296",497.51,5443.724,124
"297",497.31,5443.024,56
"298",497.46,5443.774,122
"299",497.927,5443.026,11
"300",497.26,5443.824,122
"301",497.51,5443.424,81
"302",497.515,5443.343,64
"303",497.93,5443.024,11
"304",497.31,5443.824,124
"305",497.01,5442.924,74
"306",497.56,5443.624,105
"307",497.11,5442.924,80
"308",497.56,5443.674,104
"309",496.96,5442.924,85
"310",497.51,5443.774,119
"311",496.91,5443.874,73
"312",497.36,5443.824,106
"313",496.96,5443.874,72
"314",497.56,5443.574,100
"315",497.531,5443.331,51
"316",497.01,5443.874,76
"317",497.06,5442.924,69
"318",497.06,5443.874,76
"319",497.56,5443.424,72
"320",497.56,5443.374,50
"321",496.91,5442.924,90
"322",497.93,5443.016,10
"323",497.26,5442.974,51
"324",497.56,5443.724,105
"325",497.41,5443.824,104
"326",497.343,5443.034,41
"327",497.11,5443.874,77
"328",497.56,5443.524,97
"329",497.547,5443.319,41
"330",497.16,5443.874,85
"331",497.924,5443.011,11
"332",497.21,5443.874,96
"333",497.56,5443.774,97
"334",497.16,5442.924,65
"335",497.96,5443.074,7
"336",497.46,5443.824,95
"337",497.56,5443.474,75
"338",497.56,5443.324,39
"339",496.86,5442.924,97
"340",497.563,5443.307,37
"341",497.51,5443.824,89
"342",497.61,5443.624,84
"343",497.61,5443.674,85
"344",497.26,5443.874,98
"345",497.205,5442.927,50
"346",497.517,5442.956,12
"347",497.21,5442.924,50
"348",497.61,5443.774,83
"349",497.31,5443.874,94
"350",497.61,5443.724,85
"351",497.61,5443.574,85
"352",497.908,5442.999,11
"353",497.96,5443.024,7
"354",497.56,5443.824,87
"355",497.36,5443.874,83
"356",497.41,5443.874,84
"357",497.36,5443.024,35
"358",496.81,5442.924,95
"359",497.86,5443.174,6
"360",497.61,5443.424,51
"361",497.61,5443.474,67
"362",497.46,5443.874,82
"363",497.61,5443.824,75
"364",497.31,5442.974,39
"365",497.61,5443.524,70
"366",497.06,5442.874,65
"367",497.61,5443.374,37
"368",497.578,5443.295,29
"369",497.51,5443.874,83
"370",497.96,5443.124,2
"371",496.76,5442.924,98
"372",497.66,5443.724,73
"373",497.66,5443.674,70
"374",497.11,5442.874,53
"375",497.66,5443.624,71
"376",497.66,5443.774,73
"377",497.26,5442.924,33
"378",497.456,5442.984,19
"379",497.01,5442.874,58
"380",497.56,5443.874,73
"381",497.61,5443.324,27
"382",496.96,5442.874,66
"383",497.892,5442.987,10
"384",497.377,5443.013,29
"385",497.61,5443.874,66
"386",497.66,5443.824,69
"387",497.66,5443.574,66
"388",497.797,5442.913,12
"389",497.16,5442.874,42
"390",497.465,5442.996,21
"391",497.91,5443.174,3
"392",497.46,5442.974,17
"393",497.71,5443.674,56
